country,year,A124_02_support,A124_06_support,A124_07_support,A124_08_support,A124_09_support,C002_support,E036_support,E037_support,E039_support,F114A_support,F115_support,F116_support,F117_support,F118_support,F119_support,F120_support,F121_support,F122_support,F123_support,G006_support,E069_01_support,E069_02_support,E069_04_support,E069_05_support,E069_06_support,E069_07_support,E069_08_support,E069_13_support,E069_17_support,A124_02_oppose,A124_06_oppose,A124_07_oppose,A124_08_oppose,A124_09_oppose,C002_oppose,E036_oppose,E037_oppose,E039_oppose,F114A_oppose,F115_oppose,F116_oppose,F117_oppose,F118_oppose,F119_oppose,F120_oppose,F121_oppose,F122_oppose,F123_oppose,G006_oppose,E069_01_oppose,E069_02_oppose,E069_04_oppose,E069_05_oppose,E069_06_oppose,E069_07_oppose,E069_08_oppose,E069_13_oppose,E069_17_oppose
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
IRQ,2006,0.16904583714462584,0.24235104292234017,0.42659037424148144,0.8159388982461706,0.46670909578133374,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.8309541628553742,0.7576489570776599,0.5734096257585186,0.1840611017538294,0.5332909042186662,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
